iter	Passed	Remaining
0	140	139933
1	141	70714
2	143	47574
3	144	35944
4	145	28938
5	146	24277
6	147	20951
7	149	18517
8	150	16576
9	151	15008
10	152	13739
11	154	12683
12	155	11799
13	156	11040
14	157	10361
15	159	9783
16	160	9277
17	161	8819
18	162	8408
19	163	8032
20	165	7705
21	166	7401
22	167	7126
23	168	6864
24	170	6648
25	171	6429
26	172	6229
27	174	6043
28	175	5880
29	177	5750
30	179	5599
31	180	5458
32	181	5325
33	183	5209
34	185	5117
35	187	5011
36	188	4910
37	191	4841
38	192	4751
39	194	4658
40	195	4578
41	197	4497
42	199	4445
43	201	4372
44	202	4306
45	204	4236
46	205	4169
47	207	4109
48	208	4048
49	209	3986
50	210	3926
51	212	3868
52	213	3818
53	215	3768
54	216	3720
55	217	3673
56	219	3625
57	220	3577
58	221	3537
59	222	3492
60	224	3450
61	225	3414
62	227	3377
63	228	3343
64	230	3308
65	231	3277
66	232	3243
67	234	3210
68	235	3176
69	236	3142
70	237	3112
71	239	3082
72	240	3051
73	241	3026
74	243	3003
75	245	2980
76	246	2957
77	248	2931
78	249	2906
79	250	2883
80	252	2865
81	253	2842
82	254	2812
83	255	2788
84	257	2772
85	259	2753
86	260	2733
87	261	2713
88	263	2692
89	264	2672
90	265	2653
91	266	2633
92	267	2613
93	269	2595
94	271	2581
95	273	2571
96	274	2556
97	276	2544
98	277	2529
99	279	2516
100	281	2502
101	282	2489
102	284	2477
103	287	2472
104	288	2460
105	290	2453
106	292	2441
107	294	2428
108	295	2417
109	297	2405
110	298	2393
111	300	2382
112	302	2375
113	304	2362
114	305	2349
115	306	2336
116	307	2322
117	309	2311
118	310	2299
119	311	2286
120	313	2275
121	314	2264
122	317	2262
123	318	2251
124	320	2241
125	322	2233
126	323	2222
127	324	2212
128	326	2201
129	327	2191
130	329	2183
131	330	2174
132	332	2166
133	333	2156
134	335	2148
135	336	2138
136	338	2129
137	339	2120
138	340	2111
139	342	2106
140	344	2100
141	346	2090
142	347	2083
143	349	2075
144	350	2066
145	352	2060
146	353	2052
147	354	2043
148	357	2041
149	359	2034
150	361	2030
151	362	2022
152	363	2013
153	365	2006
154	366	1999
155	368	1991
156	369	1983
157	371	1978
158	373	1973
159	375	1969
160	376	1961
161	377	1954
162	379	1946
163	380	1940
164	381	1933
165	383	1925
166	384	1918
167	385	1910
168	387	1903
169	388	1897
170	390	1894
171	391	1886
172	393	1880
173	394	1873
174	395	1866
175	397	1859
176	398	1853
177	400	1847
178	401	1841
179	402	1834
180	404	1829
181	406	1826
182	408	1821
183	409	1815
184	410	1809
185	412	1803
186	413	1797
187	414	1792
188	416	1786
189	417	1780
190	419	1775
191	420	1771
192	422	1767
193	424	1763
194	426	1759
195	427	1754
196	429	1750
197	431	1748
198	433	1743
199	437	1748
200	438	1745
201	440	1741
202	442	1736
203	443	1732
204	445	1727
205	446	1721
206	448	1716
207	450	1713
208	451	1709
209	453	1704
210	454	1700
211	456	1695
212	457	1691
213	459	1687
214	460	1682
215	462	1678
216	463	1674
217	466	1672
218	468	1669
219	470	1668
220	472	1666
221	475	1665
222	477	1665
223	479	1662
224	481	1658
225	482	1653
226	484	1648
227	485	1644
228	487	1640
229	488	1635
230	490	1632
231	491	1628
232	493	1624
233	495	1621
234	496	1616
235	497	1611
236	499	1606
237	500	1601
238	501	1597
239	503	1593
240	504	1588
241	505	1584
242	507	1580
243	508	1577
244	510	1574
245	512	1570
246	513	1565
247	515	1561
248	516	1557
249	517	1552
250	518	1548
251	520	1544
252	521	1540
253	524	1539
254	525	1535
255	526	1531
256	528	1527
257	530	1526
258	532	1523
259	533	1519
260	535	1515
261	536	1512
262	539	1510
263	540	1507
264	542	1504
265	543	1500
266	545	1496
267	546	1493
268	549	1493
269	550	1489
270	552	1485
271	554	1484
272	556	1480
273	557	1477
274	561	1481
275	563	1477
276	564	1473
277	566	1470
278	567	1466
279	570	1466
280	572	1464
281	574	1462
282	576	1459
283	577	1456
284	579	1452
285	580	1450
286	587	1459
287	589	1457
288	591	1454
289	593	1452
290	595	1449
291	597	1448
292	601	1452
293	605	1453
294	607	1451
295	609	1448
296	610	1445
297	612	1441
298	614	1441
299	618	1442
300	620	1441
301	622	1439
302	625	1438
303	627	1437
304	634	1445
305	636	1443
306	638	1440
307	640	1438
308	643	1439
309	646	1438
310	647	1435
311	649	1432
312	651	1429
313	653	1426
314	654	1424
315	656	1421
316	661	1424
317	663	1422
318	664	1419
319	669	1422
320	671	1420
321	674	1420
322	676	1418
323	678	1415
324	682	1416
325	683	1414
326	685	1411
327	687	1408
328	690	1407
329	692	1405
330	694	1402
331	695	1399
332	696	1396
333	698	1392
334	699	1389
335	701	1385
336	702	1382
337	704	1379
338	706	1376
339	707	1373
340	709	1370
341	710	1367
342	712	1364
343	713	1360
344	714	1356
345	715	1353
346	717	1349
347	720	1349
348	721	1345
349	722	1342
350	724	1339
351	726	1336
352	727	1333
353	729	1330
354	730	1327
355	731	1323
356	733	1320
357	735	1318
358	736	1314
359	737	1311
360	738	1308
361	740	1304
362	741	1300
363	742	1297
364	744	1294
365	745	1291
366	747	1288
367	749	1286
368	751	1284
369	753	1282
370	754	1279
371	773	1306
372	775	1304
373	777	1302
374	782	1304
375	784	1302
376	786	1299
377	788	1296
378	789	1293
379	791	1290
380	792	1287
381	794	1284
382	798	1286
383	800	1284
384	803	1284
385	806	1282
386	808	1280
387	812	1281
388	814	1278
389	815	1276
390	817	1274
391	820	1271
392	821	1269
393	823	1266
394	826	1265
395	827	1262
396	829	1259
397	830	1256
398	832	1253
399	833	1250
400	835	1247
401	836	1243
402	837	1240
403	839	1239
404	842	1237
405	843	1234
406	845	1231
407	846	1228
408	847	1224
409	849	1221
410	850	1218
411	851	1215
412	852	1212
413	855	1210
414	857	1208
415	859	1206
416	861	1204
417	862	1201
418	864	1198
419	865	1195
420	867	1192
421	869	1190
422	870	1187
423	871	1184
424	873	1181
425	875	1179
426	877	1176
427	878	1173
428	879	1171
429	881	1168
430	882	1165
431	884	1162
432	885	1159
433	887	1157
434	888	1154
435	889	1150
436	890	1147
437	891	1144
438	893	1141
439	894	1138
440	895	1134
441	896	1132
442	897	1128
443	899	1126
444	901	1123
445	902	1120
446	903	1117
447	904	1114
448	905	1111
449	906	1108
450	907	1105
451	909	1102
452	910	1099
453	911	1096
454	912	1093
455	914	1091
456	915	1088
457	916	1085
458	918	1082
459	919	1079
460	921	1076
461	922	1074
462	923	1071
463	925	1069
464	927	1067
465	929	1065
466	931	1063
467	934	1062
468	936	1059
469	937	1057
470	939	1055
471	941	1052
472	942	1050
473	945	1048
474	947	1046
475	948	1044
476	950	1041
477	952	1040
478	954	1038
479	956	1036
480	959	1034
481	960	1032
482	962	1030
483	963	1027
484	964	1024
485	966	1021
486	967	1019
487	969	1017
